0am Food Checkin,4am Food Checkin,8am Food Checkin,12pm Food Checkin,4pm Food Checkin,8pm Food Checkin,0am Food Truck Checkin,4am Food Truck Checkin,8am Food Truck Checkin,12pm Food Truck Checkin,4pm Food Truck Checkin,8pm Food Truck Checkin,0am No Food Checkin,4am No Food Checkin,8am No Food Checkin,12pm No Food Checkin,4pm No Food Checkin,8pm No Food Checkin,Cater,Credit Card,Delivery,Drive-thru,Food Review,Food Truck Num,Food Truck Review,Food: 1 Price,Food: 2 Price,Food: 3 Price,Food: 4 Price ,Food: 1 Star,Food: 2 Star,Food: 3 Star,Food: 4 Star,Food: 5 Star,Good for Groups,Good for Kids,No Food Review,No Food: 1 Price,No Food: 2 Price,No Food: 3 Price,No Food: 4 Price,No Food: 1 Star,No Food: 2 Star,No Food: 3 Star,No Food: 4 Star,No Food: 5 Star,Noise: Average,Noise: Loud,Noise: Quiet,Outdoor Seating,Parking: Garage,Parking: Lot,Parking: Street,Parking: Valet,Parking: Validated,Reservation,Takeout,Waiter Service,Wi-Fi
12,16,88,191,330,101,0,0,0,0,0,0,13,115,354,318,399,70,2,9,2,2,255,0,0,5,4,0,0,0,0,3,6,0,9,0,246,7,5,0,0,0,1,3,8,9,5,2,1,2,0,5,0,0,0,0,9,4,5
0,7,180,421,660,93,0,0,13,19,13,4,5,423,403,609,792,109,8,11,4,0,645,1,23,5,6,0,0,0,1,4,5,1,9,0,442,7,14,4,1,0,3,10,22,17,6,1,3,6,0,9,0,0,0,0,10,6,8
83,131,1776,2306,3289,1361,0,0,68,65,87,16,11,26,364,486,387,68,13,26,1,1,2368,3,85,12,12,1,1,0,0,6,20,1,26,4,526,3,11,2,1,1,3,12,15,22,17,3,5,18,0,11,15,0,0,0,24,16,23
15,61,646,830,1444,346,1,0,45,39,28,6,8,421,724,709,522,93,10,32,5,1,945,2,15,11,19,2,0,0,6,9,16,4,25,1,402,7,18,3,1,2,4,11,27,22,18,2,5,22,0,14,0,0,0,0,28,18,23
52,76,442,550,944,321,0,4,102,156,67,10,97,367,701,871,978,655,11,24,3,6,1030,2,67,19,4,1,0,0,4,8,14,1,19,2,1012,12,22,4,0,0,2,9,29,29,15,0,7,6,0,13,1,1,0,0,26,12,19
87,79,1624,3441,5100,1421,0,43,153,165,77,4,17,231,1635,2527,2109,437,24,48,9,3,2807,2,76,20,25,3,0,0,2,11,36,1,45,3,1605,9,53,16,2,2,11,36,58,32,34,4,4,33,0,37,0,0,0,0,47,24,37
34,163,1405,1813,3725,931,0,1,104,165,67,8,11,458,1175,892,1210,299,19,39,3,2,2032,3,66,13,22,1,0,1,3,9,25,2,37,1,884,12,25,2,1,0,6,10,41,31,24,2,8,23,0,27,0,0,0,0,35,22,29
44,225,1208,1637,1603,511,0,36,142,87,22,5,5,386,1037,1116,902,106,11,20,2,2,1190,2,37,13,7,0,0,0,0,6,13,1,19,1,614,6,17,3,0,0,4,17,13,11,15,1,4,13,0,12,0,0,0,0,20,8,19
11,257,2240,1300,2320,657,1,2,110,160,98,9,22,853,1165,1075,2371,255,7,16,3,0,1544,2,88,7,8,1,1,0,0,2,14,4,17,4,618,6,9,0,2,2,2,11,10,26,8,1,6,10,1,13,0,1,0,0,14,11,15
8,16,65,143,360,85,0,0,0,0,0,0,1,51,218,224,255,58,2,6,2,0,180,0,0,4,2,0,0,0,1,0,5,0,4,0,221,4,6,3,2,0,3,4,9,17,5,0,0,3,0,5,0,0,0,0,6,4,5
99,69,1195,1998,3156,1089,0,0,43,129,57,22,28,1023,1457,2152,2027,598,13,28,2,1,1639,1,46,13,15,0,0,0,0,11,17,0,27,0,979,9,30,10,0,0,5,17,26,36,20,3,3,19,0,22,1,0,0,0,28,12,24
8,48,366,482,678,173,0,0,1,3,1,1,16,288,765,918,705,140,12,24,8,5,883,1,13,15,9,0,0,0,0,9,13,4,22,0,659,6,18,4,0,1,13,11,25,26,16,0,7,14,1,14,0,0,0,0,24,12,22
34,34,328,363,208,82,0,0,5,9,0,1,26,60,155,129,159,88,5,32,4,5,306,2,19,27,4,0,0,0,5,15,11,5,27,0,214,8,14,2,0,2,7,11,6,12,14,4,7,4,0,7,0,0,0,0,32,16,17
11,38,400,627,849,186,0,0,0,0,0,0,17,247,474,535,492,113,8,26,6,1,825,0,0,24,3,0,0,0,1,7,15,4,22,1,536,12,12,2,1,1,7,10,21,27,16,1,4,7,0,15,0,0,0,0,26,10,14
59,63,840,1704,3544,1179,0,0,8,9,4,4,46,243,1533,2366,2220,584,11,28,4,0,1908,1,10,8,15,5,0,0,0,5,21,2,26,4,897,6,20,13,0,0,2,11,26,16,22,3,1,24,1,16,5,6,0,0,22,18,21
11,169,1028,1165,3529,990,0,0,0,0,0,0,20,540,1833,1933,2516,353,6,24,0,0,2703,0,0,5,10,7,2,0,0,6,17,1,22,2,1327,5,21,9,0,0,1,11,22,15,17,1,3,19,0,19,0,3,0,0,19,19,20
8,213,1146,570,515,163,0,0,0,0,0,0,20,233,666,645,613,184,6,12,6,0,796,0,0,8,4,0,0,0,1,2,9,1,10,1,599,8,10,2,0,0,2,5,18,32,8,0,3,7,0,9,0,0,0,0,13,4,11
26,88,860,1156,1666,376,0,0,0,0,0,0,25,193,697,928,911,222,6,10,0,1,1087,0,0,2,7,1,0,0,0,1,9,0,10,1,672,1,16,0,0,0,2,8,13,10,7,1,2,8,0,9,0,0,0,0,10,7,9
20,84,1981,3680,5639,1586,1,51,539,550,331,68,70,460,2502,5366,4960,1088,18,40,1,4,2750,5,362,16,24,1,0,0,0,12,27,3,38,7,1789,8,67,28,4,1,10,42,68,36,31,4,0,28,0,34,1,0,0,0,40,21,33
10,25,499,909,1427,230,0,0,0,0,0,0,95,115,354,488,527,231,8,32,7,1,1354,0,0,17,15,0,0,0,2,8,20,6,28,2,557,9,22,2,0,1,6,12,25,27,19,1,7,16,1,12,13,0,0,0,31,18,24
14,5,181,345,667,171,0,0,0,0,0,0,53,191,653,700,609,186,5,19,5,4,613,0,0,18,6,1,0,0,4,7,11,6,18,1,602,8,12,1,0,2,4,7,15,20,13,1,5,3,0,14,0,0,0,0,24,14,14
0,3,183,234,150,30,0,2,5,3,0,2,1,59,477,737,638,40,1,3,1,0,255,1,9,1,2,0,0,0,0,0,2,1,2,0,328,1,1,2,0,0,1,3,12,19,0,0,3,2,0,3,0,0,0,0,3,3,2
33,40,742,1284,1159,259,2,7,128,146,118,34,60,215,332,309,341,172,8,30,0,1,1686,2,158,22,9,0,0,0,0,3,22,8,25,6,596,4,5,2,0,1,1,12,14,17,17,2,5,7,0,21,4,0,0,0,28,16,24
38,28,144,157,225,80,0,0,0,0,0,0,24,33,133,320,178,111,0,17,0,3,260,0,0,13,2,0,0,0,3,4,7,4,15,0,302,3,6,3,0,2,2,10,15,16,6,1,4,4,0,6,0,0,0,0,15,6,10
20,15,219,324,392,133,0,0,1,3,0,0,36,360,709,807,500,121,5,15,6,4,334,1,5,12,3,0,0,0,1,4,12,0,13,0,358,8,13,0,0,1,2,14,11,7,7,0,6,4,0,7,0,0,0,0,15,5,9
14,147,1182,1219,999,149,0,0,0,0,0,0,4,66,261,325,386,87,1,7,2,0,1307,0,0,6,3,0,0,0,1,1,7,0,7,1,408,7,7,4,0,0,4,3,13,17,7,0,1,6,0,7,1,0,0,0,8,2,8
67,22,132,272,403,100,0,0,28,79,23,4,46,107,640,711,534,121,4,12,0,3,234,1,38,9,3,0,0,0,0,5,7,0,11,0,416,7,12,2,0,0,4,15,16,12,4,0,4,5,0,4,0,0,0,0,12,3,8
57,198,1279,2150,3670,1061,0,3,44,43,7,1,35,275,927,1608,1234,302,13,28,2,1,2779,2,53,5,18,5,1,0,0,6,23,0,28,6,1031,7,23,9,1,0,3,14,23,10,22,1,4,24,1,23,0,3,0,0,25,23,25
19,25,239,338,391,78,0,0,0,0,0,0,29,191,359,298,170,51,5,21,3,2,506,0,0,11,8,0,0,1,1,7,6,6,17,0,379,4,11,0,0,3,5,10,14,16,10,0,7,4,0,7,0,0,0,0,20,10,12
11,19,221,381,843,264,0,0,0,0,0,0,9,89,337,361,350,146,12,23,4,1,802,0,0,14,8,0,0,0,1,5,15,3,17,3,323,6,10,0,0,1,5,4,13,19,14,0,6,9,0,16,0,0,0,0,20,12,17
53,48,568,1287,1801,490,0,0,80,200,52,2,33,409,1189,1638,1436,481,9,19,4,1,1274,1,72,8,10,0,0,0,1,7,10,1,15,4,1084,6,27,3,1,0,7,13,30,19,10,0,7,8,0,15,0,0,0,0,19,7,16
23,11,154,131,118,58,0,0,0,0,0,0,4,129,279,238,182,74,3,16,3,1,268,0,0,16,1,1,0,0,4,2,11,1,10,2,218,9,5,0,1,0,3,6,8,9,4,2,6,1,0,5,1,0,0,0,16,6,11
0,0,3,0,34,4,0,0,0,0,0,0,1,13,35,36,17,4,0,1,0,0,42,0,0,0,1,0,0,0,0,1,0,0,1,1,39,0,0,0,0,0,0,0,1,2,1,0,0,1,0,1,0,0,0,0,1,1,1
156,23,802,1354,2112,1055,0,1,52,131,87,16,108,642,1461,1198,1603,855,7,16,3,2,1602,1,55,10,6,0,0,0,1,2,11,2,15,3,1034,17,18,0,0,1,6,9,23,27,10,1,4,10,0,14,0,0,0,0,16,9,12
718,64,1419,2372,6806,2404,0,0,0,0,0,0,109,794,2531,2886,4323,852,4,15,3,0,1186,1,9,3,10,1,0,0,0,3,11,2,12,1,1118,9,24,2,1,1,4,14,19,35,8,2,2,12,0,9,2,0,0,0,13,11,10
11,42,1049,1846,2145,518,0,0,1,1,1,0,28,504,1361,1589,1727,249,16,33,10,6,2000,1,12,17,16,0,0,0,0,11,18,4,31,5,1087,10,33,1,3,4,7,17,40,54,24,1,7,17,0,28,1,0,0,0,33,20,29
1,1,25,117,237,102,0,74,98,23,2,2,1,35,124,215,156,32,1,1,0,0,94,1,22,0,1,0,0,0,0,1,0,0,1,1,153,4,3,3,0,0,1,2,8,7,0,0,0,0,0,1,0,0,0,0,1,1,1
36,36,293,506,1000,332,0,0,0,0,0,0,27,80,231,320,275,163,8,29,4,4,841,0,0,18,10,0,0,0,1,7,17,5,25,2,332,15,9,2,0,0,2,8,20,15,15,1,8,6,0,22,0,0,0,0,30,18,20
24,2,294,520,710,193,0,1,2,3,1,1,20,93,428,408,528,275,6,35,3,1,439,1,3,18,14,0,0,0,5,13,14,5,30,0,271,7,9,0,1,3,6,17,8,4,16,5,6,6,0,9,0,0,0,0,35,10,20
15,28,582,900,1653,404,0,0,2,6,2,2,4,121,550,651,613,123,7,23,5,3,1356,1,5,11,12,1,0,0,1,7,15,1,19,2,679,8,19,6,2,0,1,13,24,41,14,0,7,9,0,14,0,0,0,0,22,11,16
68,41,381,438,871,238,0,52,114,27,0,1,11,166,565,558,554,174,5,23,2,2,510,2,49,10,14,0,0,0,4,6,12,3,20,0,540,10,15,4,2,1,6,16,19,38,11,2,2,13,0,11,0,0,0,0,22,12,14
21,30,651,1504,2652,678,1,0,76,190,100,7,12,139,793,1251,1284,471,12,35,2,5,1604,3,86,22,15,0,0,0,4,9,20,4,36,3,809,14,23,8,0,2,6,20,28,28,21,7,6,13,0,26,1,0,0,0,36,15,28
16,52,910,2183,3705,1099,0,0,7,1,28,7,28,233,1836,3339,3239,802,16,41,4,6,1956,1,20,21,17,1,0,0,3,13,23,2,39,0,1244,8,32,16,1,0,5,20,33,29,24,4,3,26,0,25,3,0,0,0,38,19,29
10,20,230,410,518,96,0,0,0,0,0,0,12,318,599,642,386,106,5,13,3,3,518,1,3,8,5,0,0,0,2,4,5,3,10,1,386,6,5,1,0,0,2,10,18,19,9,0,3,3,1,6,0,0,0,0,13,6,9
1,3,38,47,5,1,0,0,1,1,1,0,9,22,283,685,112,21,2,2,1,0,66,2,7,2,0,0,0,0,0,0,2,0,2,0,159,0,4,0,1,1,0,1,8,15,0,0,2,1,0,1,0,0,0,0,2,1,1
1,7,53,91,127,34,0,5,17,28,0,0,2,269,256,203,173,58,2,10,6,2,184,2,13,7,2,0,0,0,0,3,8,0,8,0,441,7,3,2,0,2,3,10,17,26,2,0,6,1,0,6,0,0,0,0,10,4,5
7,712,1749,1951,2278,471,0,2,18,13,1,0,103,1334,2290,2070,2068,782,7,45,3,1,1769,1,15,18,27,0,0,0,6,20,19,2,26,1,1199,8,10,1,0,1,4,15,18,10,25,7,5,8,5,11,0,0,0,0,44,21,35
51,63,400,550,869,203,0,0,4,1,3,0,80,275,570,820,619,250,8,18,1,2,505,1,7,10,7,0,0,0,0,5,12,2,17,0,384,6,10,4,0,2,2,12,17,15,13,2,1,9,0,9,0,0,0,0,18,6,15
7,16,152,124,155,56,0,7,81,150,17,0,76,542,1283,980,1315,578,0,4,1,0,133,1,106,2,3,0,0,0,1,0,4,1,3,0,519,4,10,3,1,1,1,5,10,19,2,0,1,1,0,2,0,0,0,0,3,2,2
7,2,119,271,492,85,0,0,0,0,0,0,71,388,234,303,351,158,2,3,0,0,368,0,0,2,0,1,0,0,0,1,1,1,2,1,281,1,4,0,0,0,0,3,9,14,2,0,0,1,0,2,0,0,0,0,2,1,3
7,149,823,574,437,117,0,0,0,0,0,0,48,423,706,555,633,221,3,7,2,0,599,0,0,1,5,1,0,0,0,2,5,0,7,0,510,1,9,4,0,1,3,12,16,30,4,1,2,6,0,4,0,0,0,0,6,6,5
46,522,1995,2053,2029,897,0,1,28,6,5,2,113,378,1023,1471,1294,733,9,17,4,3,2175,1,16,11,7,0,0,0,2,5,8,4,16,4,1604,17,24,7,1,0,2,11,29,36,10,1,6,6,0,16,1,0,0,0,18,10,15
6,592,3039,3312,5907,1727,0,0,0,0,0,0,9,1081,1538,1116,2093,228,10,19,4,0,4029,0,0,2,15,2,0,0,0,2,12,5,18,3,979,5,14,5,3,0,1,6,25,25,16,0,1,15,0,13,1,8,0,0,17,13,15
3,2,138,207,186,46,0,0,38,57,13,2,14,26,148,145,199,89,4,13,4,0,257,1,93,6,7,0,0,0,0,5,7,2,12,0,306,5,10,1,0,0,3,5,12,10,7,0,3,2,0,6,0,0,0,0,10,6,8
59,63,852,1279,1751,491,0,45,89,16,4,0,25,286,834,1323,1783,445,10,24,2,3,1401,1,20,15,9,0,0,0,0,7,17,0,23,5,1310,9,20,0,1,1,3,11,24,31,17,0,5,15,0,16,0,0,0,0,24,10,21
30,27,529,1270,1512,509,0,0,2,16,10,4,67,173,652,995,953,155,8,26,4,3,1234,1,9,16,9,0,0,0,0,5,18,3,23,3,626,10,7,4,0,1,3,16,23,21,11,0,10,7,0,17,0,0,0,0,24,16,17
26,105,1766,2333,1997,568,0,38,220,300,53,20,250,857,2149,2483,2512,550,22,41,6,6,1958,4,157,27,14,0,0,0,3,14,23,2,38,8,1183,13,25,3,1,4,8,21,36,36,25,2,7,24,0,25,0,0,1,0,40,17,31
38,177,2245,2120,2447,642,0,0,54,60,3,0,74,253,868,1039,1199,546,13,29,9,2,2530,1,40,25,5,0,0,0,2,1,22,6,27,6,976,10,21,1,0,1,4,13,29,13,23,0,3,15,0,21,3,0,0,0,29,10,22
31,37,664,1062,976,278,0,0,50,41,14,5,6,368,643,642,665,213,5,20,4,0,742,1,15,9,11,0,0,0,2,7,10,2,19,0,427,11,13,2,0,1,4,14,15,12,9,2,3,11,0,11,0,0,0,0,20,8,15
64,73,826,1042,1635,473,0,0,0,0,0,0,26,135,633,629,645,181,10,31,6,4,1497,0,0,21,10,0,0,0,2,7,15,7,30,1,654,19,18,1,0,0,2,9,22,29,20,0,7,5,1,22,0,0,0,0,31,15,26
177,255,2966,4557,5449,1509,0,89,433,328,154,17,91,1143,4588,5650,5499,922,26,43,4,3,4253,3,190,21,19,3,0,0,1,4,35,3,40,7,2649,15,43,11,2,3,8,34,37,36,32,3,8,31,0,37,0,0,0,0,42,22,36
56,65,1469,2257,3129,957,0,14,90,89,53,7,49,243,1113,1392,1287,510,9,47,2,7,1867,2,47,23,21,0,0,0,1,20,24,2,40,6,1005,16,40,5,1,1,12,35,27,24,32,4,2,15,0,29,1,0,0,0,43,20,30
0,0,0,0,0,0,0,0,0,0,0,0,6,54,150,70,87,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133,0,3,1,0,0,0,1,4,9,0,0,0,0,0,0,0,0,0,0,0,0,0
10,22,181,202,691,203,0,0,0,0,0,0,13,341,458,357,329,87,4,13,5,0,702,0,0,4,8,0,1,0,1,3,8,1,12,1,314,5,5,2,0,0,0,3,7,14,7,1,5,9,0,10,0,1,0,0,11,10,11
75,853,4758,3511,3600,1067,1,118,940,942,790,118,102,547,1551,1403,2113,700,10,24,6,2,2457,3,492,16,7,1,0,0,1,5,16,3,21,5,1150,17,24,1,0,1,1,15,34,35,13,0,7,13,0,17,1,0,0,0,23,9,16
18,12,54,129,246,93,0,0,0,0,0,0,44,240,567,450,519,116,2,7,1,0,155,0,0,4,4,0,0,0,2,2,2,2,6,0,324,3,5,2,0,0,2,7,11,16,3,0,2,3,0,4,0,0,0,0,8,3,4
19,23,93,237,509,191,0,0,0,0,0,0,12,79,188,132,178,35,2,6,0,1,192,0,0,3,4,0,0,0,0,3,4,1,6,0,205,3,5,2,0,0,0,6,9,13,2,1,3,5,0,5,0,0,0,0,7,3,5
144,168,659,971,2846,1439,0,3,15,18,1,0,81,1461,1935,1814,3480,579,5,20,2,0,1235,1,4,8,11,0,0,0,0,9,8,3,18,2,988,9,15,2,2,2,7,15,19,31,10,2,4,9,0,12,0,0,0,0,18,11,13
36,48,413,577,1176,417,1,51,340,148,145,25,5,832,946,1099,1247,511,5,17,2,2,770,1,220,5,11,1,0,0,1,6,10,0,16,3,1166,5,19,1,0,0,0,12,32,28,13,1,2,9,0,11,0,1,0,0,16,11,15
86,72,1666,1950,3843,1551,0,0,33,45,11,0,120,908,1828,1551,1621,621,4,15,3,1,2172,1,59,2,13,0,0,0,0,3,10,2,12,3,1219,8,16,1,1,0,0,5,15,24,13,0,1,8,0,11,0,3,0,0,15,11,13
38,32,823,1648,2627,808,0,5,185,354,1,1,19,219,513,750,798,192,17,39,10,4,2023,1,59,20,18,1,0,0,3,10,23,4,37,2,618,16,17,2,1,0,6,15,22,25,18,2,12,14,0,24,0,0,0,0,36,22,31
2,17,145,276,281,99,0,34,127,55,22,3,24,180,478,411,276,147,5,11,3,1,249,4,46,9,3,0,0,0,2,3,8,0,9,2,350,2,12,2,0,3,6,11,13,12,5,1,3,5,0,6,0,0,0,0,11,5,6
62,67,1515,2261,3070,860,0,0,0,0,0,0,152,394,1478,2237,3022,852,16,43,5,5,2083,0,0,32,12,0,0,0,3,10,25,8,42,2,1342,15,27,4,1,1,5,19,38,32,27,1,6,14,0,32,0,0,0,0,44,22,28
10,25,420,493,309,96,0,1,0,0,3,2,2,20,145,214,97,19,5,16,2,1,470,1,5,14,4,0,0,0,1,6,12,0,13,0,249,7,4,1,0,1,1,6,8,14,8,1,3,4,0,9,0,0,0,0,17,9,12
341,509,3765,4490,7123,3767,12,104,1122,510,581,67,301,671,2101,2353,3404,2238,16,48,8,5,6498,10,646,21,27,1,0,0,4,14,26,7,42,7,2227,22,22,7,0,2,5,14,30,57,36,3,5,36,10,16,25,0,2,0,44,31,42
24,17,490,819,1617,456,0,0,0,0,0,0,7,107,435,588,439,108,5,18,2,3,978,0,0,11,7,0,0,0,2,4,11,1,15,4,548,7,12,5,0,0,3,8,15,27,10,1,2,6,0,12,1,0,1,0,18,7,12
111,181,2325,4969,8438,2904,1,2,28,46,67,24,66,221,1820,3610,4769,1738,10,31,3,2,3186,1,25,15,16,1,0,0,1,11,18,2,29,1,2089,12,33,10,0,2,6,26,37,57,18,3,5,21,0,25,0,1,0,0,30,16,24
30,43,529,975,2219,560,0,21,64,21,2,0,46,371,702,869,762,223,11,28,5,4,1423,1,14,20,10,0,0,0,3,6,20,1,27,3,732,15,16,0,1,1,5,16,23,19,18,0,6,6,0,17,0,0,0,0,30,12,19
35,106,993,1346,1950,464,0,1,34,67,32,6,26,433,617,576,599,180,10,21,4,3,1491,1,28,10,10,1,0,0,2,9,10,1,18,1,758,11,18,3,1,0,5,15,26,22,18,2,0,8,0,16,0,0,0,0,21,10,19
1,39,133,114,351,92,0,0,0,0,0,0,6,164,383,187,159,41,3,8,1,0,379,0,0,1,4,2,1,0,0,2,4,2,6,0,109,2,5,3,0,1,0,1,11,5,5,0,2,4,0,5,0,1,0,0,7,7,6
43,103,1230,1827,2930,735,0,32,429,382,256,18,119,410,2040,3709,3160,538,17,34,0,4,1919,4,261,18,14,1,0,0,2,13,18,2,31,3,1445,12,44,10,2,1,6,22,49,30,27,2,3,22,0,27,0,0,0,0,34,18,29
15,183,1086,1318,2649,574,0,0,46,113,67,11,29,589,1365,1352,1685,645,22,40,11,4,1631,2,78,22,16,1,0,1,3,8,27,2,33,4,916,13,29,5,1,2,10,12,39,48,25,0,7,23,0,24,2,0,0,0,39,17,29
4,13,56,62,91,17,0,0,0,0,0,0,12,62,228,288,75,26,0,6,1,3,71,0,0,4,2,0,0,0,0,3,3,0,5,0,45,3,1,1,0,0,0,3,3,4,6,0,0,2,0,2,0,0,0,0,6,2,3
47,83,1748,3802,5664,1938,0,2,44,113,66,4,59,288,2251,3977,3899,909,11,32,0,0,4011,1,41,5,18,6,3,0,0,4,24,4,31,5,2153,4,44,27,3,0,4,23,44,38,25,2,3,27,13,13,6,10,2,0,24,25,28
30,64,1015,1431,1494,382,0,0,0,0,0,0,8,210,551,939,1157,298,8,17,5,1,1541,0,0,8,9,0,0,0,0,3,14,1,18,2,769,9,9,2,1,2,1,8,17,21,13,1,3,6,0,12,0,0,0,0,17,11,13
8,131,1837,2245,2460,601,0,3,55,78,48,9,111,628,2099,2190,1913,736,15,19,3,0,2117,2,44,10,10,0,0,0,1,5,16,0,18,3,1827,7,16,0,0,0,1,5,22,27,17,0,2,17,2,15,2,0,0,0,20,7,17
1,48,382,389,199,36,0,0,0,0,0,0,18,87,320,330,259,94,3,12,2,1,481,0,0,11,2,0,0,0,1,4,7,3,8,2,446,2,2,0,0,0,8,8,8,11,8,0,4,5,0,7,1,0,0,0,14,3,7
1,1,30,47,120,21,0,0,0,0,0,0,1,29,117,90,38,7,1,3,1,0,111,0,0,1,3,0,0,0,2,2,2,1,4,0,78,4,2,0,0,0,0,4,7,2,2,0,2,2,0,1,0,0,0,0,3,2,1
0,6,8,16,24,6,0,2,6,4,0,0,16,221,947,1015,752,127,0,1,0,0,21,1,4,0,0,1,0,0,0,0,1,0,1,0,510,0,6,2,1,0,2,7,7,24,0,0,1,1,0,0,0,0,0,0,0,1,0
0,24,93,176,172,15,0,0,0,0,0,0,16,35,58,61,78,33,3,5,2,1,231,0,0,4,1,0,0,0,0,1,3,1,4,1,144,3,0,0,0,0,2,3,4,11,3,0,2,2,0,4,0,0,0,0,5,1,5
30,51,807,877,1504,387,0,1,4,12,23,3,19,360,797,762,1630,382,10,18,1,0,1205,1,31,8,10,0,0,0,1,7,12,1,16,3,609,7,15,3,0,0,3,8,18,24,10,3,3,12,0,15,0,0,0,0,17,10,15
13,286,2661,3018,4295,1250,0,21,45,20,27,4,21,911,1549,1414,1351,333,14,38,6,6,3653,3,26,17,18,0,0,1,2,6,24,6,29,7,1087,14,28,5,0,0,4,18,32,47,24,1,7,18,0,23,4,0,0,0,39,19,30
16,24,453,930,1323,309,0,1,107,184,14,6,25,65,451,741,1043,290,7,33,3,2,1453,3,110,26,11,0,0,0,3,7,22,5,31,3,1208,20,26,1,0,5,4,18,42,55,20,3,6,23,1,21,11,0,0,0,35,19,28
61,5,502,885,1192,312,0,0,0,0,0,0,11,35,301,431,417,101,9,17,6,2,1123,0,0,14,3,0,0,0,1,3,13,1,14,3,474,6,7,1,0,2,5,14,13,14,7,1,6,3,0,13,0,0,0,0,17,8,13
27,121,764,1082,1210,264,0,0,8,8,8,2,53,255,781,1161,884,270,10,23,3,5,712,1,9,15,8,0,0,0,1,9,9,5,21,2,426,4,14,2,0,0,3,15,15,8,18,0,3,10,0,11,0,0,0,0,23,9,21
1,35,410,504,353,41,0,2,5,10,0,0,39,469,1379,1073,957,229,4,12,3,0,462,1,3,10,0,1,0,0,0,4,7,1,10,0,754,6,2,2,0,1,4,6,13,12,8,0,2,5,0,9,1,0,0,0,11,2,5
8,105,535,546,959,230,0,0,5,6,14,0,3,95,259,303,389,117,5,15,0,1,950,1,16,3,11,1,0,0,0,4,11,0,13,2,197,2,4,5,2,0,1,6,8,10,13,0,1,13,0,9,3,0,0,0,14,12,9
28,19,362,406,663,232,0,0,36,45,12,1,21,344,999,906,809,214,10,27,5,0,724,3,56,18,9,0,0,1,2,6,16,3,20,3,713,17,11,1,1,2,1,13,21,35,16,1,3,7,0,16,0,0,0,0,26,15,19
44,174,4970,7509,7966,2777,0,0,0,0,0,0,90,394,3323,7846,7754,1647,14,29,3,0,4372,0,0,9,18,1,2,0,1,5,22,2,28,5,3057,9,40,38,16,0,5,27,67,41,19,5,5,20,15,10,1,7,0,0,29,20,27
0,1,9,14,6,1,0,0,0,0,0,0,4,8,106,89,61,9,0,1,0,0,15,0,0,0,1,0,0,0,0,1,0,0,1,0,162,0,0,1,0,0,0,0,3,4,1,0,0,1,0,1,0,0,0,0,1,1,1
184,97,1066,1037,1242,835,0,0,11,57,45,7,59,534,1279,1343,1823,782,10,22,5,2,1301,1,63,16,6,0,0,0,2,4,14,2,20,4,1372,20,16,2,0,4,5,20,25,40,11,1,10,9,0,15,1,0,0,0,22,12,18
21,104,563,354,521,203,1,85,66,9,1,2,6,53,219,327,334,93,4,8,0,1,464,1,15,2,5,0,0,0,1,3,4,0,7,2,280,3,9,4,1,1,1,5,18,13,5,1,1,4,0,4,0,0,0,0,8,5,6
16,17,219,427,866,224,0,0,0,0,0,0,9,420,758,601,606,163,6,17,6,2,568,0,0,7,9,0,0,0,3,3,10,1,12,2,398,8,11,2,0,1,4,7,20,21,11,0,1,5,0,8,0,0,0,0,15,7,11
19,44,884,1349,1331,245,0,0,62,75,15,0,18,106,574,832,794,161,11,38,6,6,1347,2,60,27,10,0,0,0,3,8,26,1,31,2,685,12,20,2,1,0,7,14,20,24,22,0,12,10,0,25,1,0,0,0,35,16,27
13,78,1216,963,332,45,0,0,2,2,0,0,6,88,121,106,61,16,9,21,5,2,1137,1,4,12,6,0,1,0,0,9,9,3,16,1,446,2,6,0,0,3,3,5,13,23,11,0,6,8,0,16,2,0,0,0,17,10,15
46,77,1031,1425,2081,542,0,0,15,24,3,0,222,661,1991,3368,4592,1285,5,22,2,3,1194,1,14,10,11,0,1,0,0,7,11,4,20,0,1303,8,22,6,2,2,4,18,22,17,14,2,4,15,3,14,0,4,0,0,18,10,16
9,12,104,185,277,54,0,0,0,0,0,0,11,175,878,987,1000,341,3,16,4,1,242,0,0,7,6,1,0,0,2,4,8,3,12,1,674,7,16,1,2,2,1,13,24,25,5,1,3,3,0,3,0,0,0,0,13,4,8
19,35,186,326,494,157,0,0,0,0,0,0,52,336,742,714,725,222,5,33,5,3,700,0,0,28,6,0,0,1,4,10,17,5,28,4,552,10,8,1,0,0,2,8,18,18,12,3,9,5,0,15,0,0,0,0,34,10,17
10,42,200,310,506,136,0,0,0,0,0,0,24,343,434,265,314,152,5,26,7,1,474,0,0,16,8,0,0,0,0,7,18,2,21,0,297,6,6,1,0,2,7,6,14,23,13,0,8,8,0,10,1,0,0,0,25,14,18
296,367,6746,7383,11235,4446,2,0,4,2,0,0,642,768,2526,3802,3779,2455,18,42,8,1,7567,1,3,9,29,4,0,0,1,9,28,4,37,9,2177,10,35,12,1,3,4,20,41,46,32,3,6,31,9,11,23,3,1,0,36,37,35
